"file_name","so_answer_id","gh_file_id","variable","code"
"so#39503917_gh#f7d02442d75bc02b258ce6191af1597c44a6c24d.html","39503917","f7d02442d75bc02b258ce6191af1597c44a6c24d","uri","Undeclared variable"
"so#38469429_gh#ed8dbd5152a8a0802024c5178b0bc0e337846de6.html","38469429","ed8dbd5152a8a0802024c5178b0bc0e337846de6","resId","Undeclared variable"
"so#38469429_gh#e79675e7e6c0bb6751e54bdbcadd7710a34cd41b.html","38469429","e79675e7e6c0bb6751e54bdbcadd7710a34cd41b","resId","Undeclared variable"
"so#28984182_gh#11252335bb2c8c8b4145e68d4d774851aad93dcb.html","28984182","11252335bb2c8c8b4145e68d4d774851aad93dcb","buffer","Undeclared variable"
"so#28726882_gh#eea8a2efe02e126cf80bb191f95a1927e4077ec4.html","28726882","eea8a2efe02e126cf80bb191f95a1927e4077ec4","resource","The variable has a constant value"
"so#28726882_gh#51b6f7b4834c4e0282a5da0fa0d25d839c327d05.html","28726882","51b6f7b4834c4e0282a5da0fa0d25d839c327d05","resource","The variable has a constant value"
"so#24215166_gh#ae4386989bbd340b913ac4005861f1960c9a05ae.html","24215166","ae4386989bbd340b913ac4005861f1960c9a05ae","data","The variable has a constant value"
"so#20229254_gh#1852a8fecafd7a391fb0407662215ffd0c148fff.html","20229254","1852a8fecafd7a391fb0407662215ffd0c148fff","text","The variable has a constant value"
"so#19667994_gh#ba3a03635d58fef4d32e3818039fc176b5ba8147.html","19667994","ba3a03635d58fef4d32e3818039fc176b5ba8147","timeInMilliSeconds","Undeclared variable"
"so#15526361_gh#b19b85168c848eef17cd65d063108768685e3e55.html","15526361","b19b85168c848eef17cd65d063108768685e3e55","soundName","The variable has a constant value"
"so#13602540_gh#39fa6dea82a4dee7b599abf9002daad96d947cc3.html","13602540","39fa6dea82a4dee7b599abf9002daad96d947cc3","in","Undeclared variable"
"so#13345781_gh#e37d7a0f61e2768d0ae3c54c385e53d3bd53e9ac.html","13345781","e37d7a0f61e2768d0ae3c54c385e53d3bd53e9ac","chart","Undefined phenomenon"
"so#13293384_gh#dd5337b398113da6e73c55c4d0ec8e044baf4bd0.html","13293384","dd5337b398113da6e73c55c4d0ec8e044baf4bd0","name","The variable has a constant value"
"so#13293384_gh#b20344b837f087be08aba5065420db38db3b5d43.html","13293384","b20344b837f087be08aba5065420db38db3b5d43","name","The variable has a constant value"
"so#12864897_gh#d5bc41a0d263834493954a2ed74bd6a1192f80b0.html","12864897","d5bc41a0d263834493954a2ed74bd6a1192f80b0","cm","Undefined phenomenon"
"so#10442736_gh#4c84747d53443b879949c6b7ddc1a9a5c757969e.html","10442736","4c84747d53443b879949c6b7ddc1a9a5c757969e","file","Undeclared variable"
"so#8207591_gh#a3f075ace3b5afb1b7b47e5f773628479242a129.html","8207591","a3f075ace3b5afb1b7b47e5f773628479242a129","converterView","Undeclared variable"
"so#8207591_gh#986adb41447dabc453664829a3944b9df0b20828.html","8207591","986adb41447dabc453664829a3944b9df0b20828","converterView","Undeclared variable"
"so#8207591_gh#688f2ddaa3eaf342ec28e4d333f64c5e52d53a95.html","8207591","688f2ddaa3eaf342ec28e4d333f64c5e52d53a95","converterView","Undeclared variable"
"so#8207591_gh#0381e5b586059dc043cdf7ffb2c52b6018f5fc4d.html","8207591","0381e5b586059dc043cdf7ffb2c52b6018f5fc4d","converterView","Undeclared variable"
"so#8207591_gh#248f227d86591a15b26f82b44b1a9033852107a9.html","8207591","248f227d86591a15b26f82b44b1a9033852107a9","converterView","Undeclared variable"
"so#8207591_gh#51d855bfd432098fa8d97d33bc29f62a96c83062.html","8207591","51d855bfd432098fa8d97d33bc29f62a96c83062","converterView","Undeclared variable"
"so#7217440_gh#df4bb7013e7cb364db0107656489c888b6c47605.html","7217440","df4bb7013e7cb364db0107656489c888b6c47605","tag_xml","Undeclared variable"
"so#5711150_gh#4b8c46fe44c40b4afb07886478bfb8ddfde4c81f.html","5711150","4b8c46fe44c40b4afb07886478bfb8ddfde4c81f","proc","Undefined phenomenon"
"so#4067838_gh#525a1be5642b1e18f7f7bd21753d4e1724c880e9.html","4067838","525a1be5642b1e18f7f7bd21753d4e1724c880e9","s","Undeclared variable"
"so#3934280_gh#23c0757fa489d668a3ab02f9f56fcc460b780b04.html","3934280","23c0757fa489d668a3ab02f9f56fcc460b780b04","connection","Undeclared variable"
"so#3506039_gh#da0f21acdf04430c2368450cad01402c3376a2f1.html","3506039","da0f21acdf04430c2368450cad01402c3376a2f1","URL","Undeclared variable"
"so#3506039_gh#45d7973af7a20de644b33516b019cffef0d3b0b1.html","3506039","45d7973af7a20de644b33516b019cffef0d3b0b1","URL","Undeclared variable"
"so#3506039_gh#009a5d9db683e136554c304334aa6129df509e18.html","3506039","009a5d9db683e136554c304334aa6129df509e18","URL","Undeclared variable"
"so#3475772_gh#cd3329d94ff24abbc4e729a0b520d73602342ffb.html","3475772","cd3329d94ff24abbc4e729a0b520d73602342ffb","yourImageUrl","Undeclared variable"
"so#2817806_gh#bda1189240dd2d20640a3525109d1a3fa4a168be.html","2817806","bda1189240dd2d20640a3525109d1a3fa4a168be","byteArray","Undeclared variable"
"so#2408779_gh#5cf67ced8906626dd8731840d0628bf498e88a10.html","2408779","5cf67ced8906626dd8731840d0628bf498e88a10","f","Undefined phenomenon"
"so#1677232_gh#97ba91cdd2495cc4089fc5f2e26ec55688566697.html","1677232","97ba91cdd2495cc4089fc5f2e26ec55688566697","stringBuilder","Undeclared variable"
"so#767833_gh#d49f21c8b011870f029cc3bcad4b8eb866de8043.html","767833","d49f21c8b011870f029cc3bcad4b8eb866de8043","str","The variable has a constant value"
"so#767833_gh#d49f21c8b011870f029cc3bcad4b8eb866de8043.html","767833","d49f21c8b011870f029cc3bcad4b8eb866de8043","findStr","The variable has a constant value"
"so#434731_gh#fcc9ff099a6e19539dfd3eed5513d8d68e2a5eb7.html","434731","fcc9ff099a6e19539dfd3eed5513d8d68e2a5eb7","_port","Undeclared variable"
"so#434731_gh#e01f6be0b8d41e0766fe4a0a37e1f2a7c64d7fa7.html","434731","e01f6be0b8d41e0766fe4a0a37e1f2a7c64d7fa7","_port","Undeclared variable"
"so#434731_gh#dde2678e90daed7e7f8f26272948ad20a86d5b43.html","434731","dde2678e90daed7e7f8f26272948ad20a86d5b43","_port","Undeclared variable"
"so#434731_gh#c2e5175e403baf267eef7492cc8daa4651ea2f56.html","434731","c2e5175e403baf267eef7492cc8daa4651ea2f56","_port","Undeclared variable"
"so#434731_gh#baf986e37a223ccc6b074b019e0c46a9595211c3.html","434731","baf986e37a223ccc6b074b019e0c46a9595211c3","_port","Undeclared variable"
"so#434731_gh#94ef7d3b74f94bbc6fa4e4b5126aa3364bc70249.html","434731","94ef7d3b74f94bbc6fa4e4b5126aa3364bc70249","_port","Undeclared variable"
"so#434731_gh#5b4dc6d688d3500c77a26d82da5125511b1f1da0.html","434731","5b4dc6d688d3500c77a26d82da5125511b1f1da0","_port","Undeclared variable"
"so#14257087_gh#efa734d1b87211ab4aab47fe2bcdb599cb8c219b.html","14257087","efa734d1b87211ab4aab47fe2bcdb599cb8c219b","yourBundle","Undeclared variable"
"so#434731_gh#8fdb4444e291e0f20bab9e32f4c2016a57334c0a.html","434731","8fdb4444e291e0f20bab9e32f4c2016a57334c0a","_port","Undeclared variable"
"so#6400178_gh#6fced4d94ea541504e09a5845c30e18c4ecc69ba.html","6400178","6fced4d94ea541504e09a5845c30e18c4ecc69ba","somePathName","Undeclared variable"
