"file_name","so_answer_id","gh_file_id","applied_pattern"
"so#42024257_gh#c8559b165f8d27bebdcdce953d752515688ef190.html","42024257","c8559b165f8d27bebdcdce953d752515688ef190","The variable is the latest statement in the code snippet"
"so#39503917_gh#f7d02442d75bc02b258ce6191af1597c44a6c24d.html","39503917","f7d02442d75bc02b258ce6191af1597c44a6c24d","Undefined phenomenon"
"so#38469429_gh#e79675e7e6c0bb6751e54bdbcadd7710a34cd41b.html","38469429","e79675e7e6c0bb6751e54bdbcadd7710a34cd41b","The return value is already in the code snippet"
"so#35935955_gh#fb0567772a9f1abc63f39d4b6e42bb9f345fc9da.html","35935955","fb0567772a9f1abc63f39d4b6e42bb9f345fc9da","Undefined phenomenon"
"so#35886768_gh#f44693049e274bdfd2e573382b095b2f4c30da94.html","35886768","f44693049e274bdfd2e573382b095b2f4c30da94","Undefined phenomenon"
"so#31424601_gh#66b4fe8ca20ff635fbc04dd74aa4d8390a24aa5a.html","31424601","66b4fe8ca20ff635fbc04dd74aa4d8390a24aa5a","Undefined phenomenon"
"so#28984182_gh#11252335bb2c8c8b4145e68d4d774851aad93dcb.html","28984182","11252335bb2c8c8b4145e68d4d774851aad93dcb","Undefined phenomenon"
"so#28726882_gh#eea8a2efe02e126cf80bb191f95a1927e4077ec4.html","28726882","eea8a2efe02e126cf80bb191f95a1927e4077ec4","Undefined phenomenon"
"so#28726882_gh#51b6f7b4834c4e0282a5da0fa0d25d839c327d05.html","28726882","51b6f7b4834c4e0282a5da0fa0d25d839c327d05","Undefined phenomenon"
"so#28627878_gh#897ad5efe0ca07a2fe14dabe3c47b0d38cd0ed81.html","28627878","897ad5efe0ca07a2fe14dabe3c47b0d38cd0ed81","Undefined phenomenon"
"so#27798343_gh#94026dde8bfa71a15c1cb5b1f5518b53ee108aed.html","27798343","94026dde8bfa71a15c1cb5b1f5518b53ee108aed","The variable is the latest statement in the code snippet"
"so#27218198_gh#c172cb69867893460b82b158be4b192aa84bb6be.html","27218198","c172cb69867893460b82b158be4b192aa84bb6be","The variable is the latest statement in the code snippet"
"so#27218198_gh#774955a94ce741e707a8da13004a1a989b7f4d19.html","27218198","774955a94ce741e707a8da13004a1a989b7f4d19","The variable is the latest statement in the code snippet"
"so#27218198_gh#9fbed68981730f980ef18c0d5e3caaacdfde2c02.html","27218198","9fbed68981730f980ef18c0d5e3caaacdfde2c02","The variable is the latest statement in the code snippet"
"so#27218198_gh#5d677964606549a43299f0a49fff88fc20ad5f39.html","27218198","5d677964606549a43299f0a49fff88fc20ad5f39","The variable is the latest statement in the code snippet"
"so#24215166_gh#ae4386989bbd340b913ac4005861f1960c9a05ae.html","24215166","ae4386989bbd340b913ac4005861f1960c9a05ae","The variable is used as an argument in a System.out.println invocation"
"so#23535232_gh#5e1efe0ef2185f715aa7520fc0a31717c64d7f79.html","23535232","5e1efe0ef2185f715aa7520fc0a31717c64d7f79","Undefined phenomenon"
"so#21479372_gh#af07dbef62d3b1f2e50195d9ec8c99b35be2b3af.html","21479372","af07dbef62d3b1f2e50195d9ec8c99b35be2b3af","Undefined phenomenon"
"so#20932225_gh#2ad53c19c235a3ef69d1ab58a1832140bd7b0a27.html","20932225","2ad53c19c235a3ef69d1ab58a1832140bd7b0a27","Undefined phenomenon"
"so#20229254_gh#1852a8fecafd7a391fb0407662215ffd0c148fff.html","20229254","1852a8fecafd7a391fb0407662215ffd0c148fff","The variable is used as an argument in a System.out.println invocation"
"so#19667994_gh#ba3a03635d58fef4d32e3818039fc176b5ba8147.html","19667994","ba3a03635d58fef4d32e3818039fc176b5ba8147","The variable is the latest statement in the code snippet"
"so#18417382_gh#8e3ad144f095241a8790500a2bf983095133804b.html","18417382","8e3ad144f095241a8790500a2bf983095133804b","Undefined phenomenon"
"so#17348755_gh#a4064461faea6200b47fab1b5a44669d4181c3aa.html","17348755","a4064461faea6200b47fab1b5a44669d4181c3aa","The return value is already in the code snippet"
"so#15526361_gh#b19b85168c848eef17cd65d063108768685e3e55.html","15526361","b19b85168c848eef17cd65d063108768685e3e55","Undefined phenomenon"
"so#13380999_gh#2cf42bb292bbce9eafd55e8523442bbddaafb095.html","13380999","2cf42bb292bbce9eafd55e8523442bbddaafb095","Undefined phenomenon"
"so#13293384_gh#dd5337b398113da6e73c55c4d0ec8e044baf4bd0.html","13293384","dd5337b398113da6e73c55c4d0ec8e044baf4bd0","Undefined phenomenon"
"so#13293384_gh#b20344b837f087be08aba5065420db38db3b5d43.html","13293384","b20344b837f087be08aba5065420db38db3b5d43","Undefined phenomenon"
"so#12864897_gh#d5bc41a0d263834493954a2ed74bd6a1192f80b0.html","12864897","d5bc41a0d263834493954a2ed74bd6a1192f80b0","The variable is the latest statement in the code snippet"
"so#12864897_gh#5f491c7e668694502cc8804f7d0330fca8339824.html","12864897","5f491c7e668694502cc8804f7d0330fca8339824","The variable is the latest statement in the code snippet"
"so#12066696_gh#e5f55d5b4ba4c513dbb3213aba65ff657304ea96.html","12066696","e5f55d5b4ba4c513dbb3213aba65ff657304ea96","The variable is the latest statement in the code snippet"
"so#12066696_gh#b03791e26eb70bc6d53ff003d1c6d78b43416dc1.html","12066696","b03791e26eb70bc6d53ff003d1c6d78b43416dc1","The variable is the latest statement in the code snippet"
"so#12066696_gh#587442a46028b538f09d80fb6bf876fae534d740.html","12066696","587442a46028b538f09d80fb6bf876fae534d740","The variable is the latest statement in the code snippet"
"so#12066696_gh#449251fe0e95e8420e5deec60690d2264e27c9ef.html","12066696","449251fe0e95e8420e5deec60690d2264e27c9ef","The variable is the latest statement in the code snippet"
"so#12066696_gh#98810cc8def376fbf628aa4ba18e19ef21c1411b.html","12066696","98810cc8def376fbf628aa4ba18e19ef21c1411b","The variable is the latest statement in the code snippet"
"so#12066696_gh#62a3bc422bacc0168d0ce9b0e6f3a2a8a350524f.html","12066696","62a3bc422bacc0168d0ce9b0e6f3a2a8a350524f","The variable is the latest statement in the code snippet"
"so#12066696_gh#8ffeca638d0ff2d940aeef5afb7e0a6e177d8791.html","12066696","8ffeca638d0ff2d940aeef5afb7e0a6e177d8791","The variable is the latest statement in the code snippet"
"so#12066696_gh#1e012533630fd1af445770988d5d578318ade57e.html","12066696","1e012533630fd1af445770988d5d578318ade57e","The variable is the latest statement in the code snippet"
"so#10442736_gh#4c84747d53443b879949c6b7ddc1a9a5c757969e.html","10442736","4c84747d53443b879949c6b7ddc1a9a5c757969e","The variable is the latest statement in the code snippet"
"so#8708357_gh#a7073497b224ccc16ecd8ebadb5dc4a2a39a0626.html","8708357","a7073497b224ccc16ecd8ebadb5dc4a2a39a0626","The variable is used as an argument in a System.out.println invocation"
"so#8207591_gh#a3f075ace3b5afb1b7b47e5f773628479242a129.html","8207591","a3f075ace3b5afb1b7b47e5f773628479242a129","The variable is the latest statement in the code snippet"
"so#8207591_gh#986adb41447dabc453664829a3944b9df0b20828.html","8207591","986adb41447dabc453664829a3944b9df0b20828","The variable is the latest statement in the code snippet"
"so#8207591_gh#688f2ddaa3eaf342ec28e4d333f64c5e52d53a95.html","8207591","688f2ddaa3eaf342ec28e4d333f64c5e52d53a95","The variable is the latest statement in the code snippet"
"so#8207591_gh#0381e5b586059dc043cdf7ffb2c52b6018f5fc4d.html","8207591","0381e5b586059dc043cdf7ffb2c52b6018f5fc4d","The variable is the latest statement in the code snippet"
"so#8207591_gh#248f227d86591a15b26f82b44b1a9033852107a9.html","8207591","248f227d86591a15b26f82b44b1a9033852107a9","The variable is the latest statement in the code snippet"
"so#8207591_gh#51d855bfd432098fa8d97d33bc29f62a96c83062.html","8207591","51d855bfd432098fa8d97d33bc29f62a96c83062","The variable is the latest statement in the code snippet"
"so#7608719_gh#4287ac5f0f7f3f6adacac7cc8badec69e391f228.html","7608719","4287ac5f0f7f3f6adacac7cc8badec69e391f228","Undefined phenomenon"
"so#7217440_gh#df4bb7013e7cb364db0107656489c888b6c47605.html","7217440","df4bb7013e7cb364db0107656489c888b6c47605","The variable is the latest statement in the code snippet"
"so#6349913_gh#8ad1efa3019f40d31352f71dbe67e210cad6aaf9.html","6349913","8ad1efa3019f40d31352f71dbe67e210cad6aaf9","The variable is the latest statement in the code snippet"
"so#5841353_gh#01b7a3b5c20e276c26f2880a5122ba07df1f1b6e.html","5841353","01b7a3b5c20e276c26f2880a5122ba07df1f1b6e","The variable is the latest statement in the code snippet"
"so#4067838_gh#525a1be5642b1e18f7f7bd21753d4e1724c880e9.html","4067838","525a1be5642b1e18f7f7bd21753d4e1724c880e9","The return value is already in the code snippet"
"so#3934280_gh#23c0757fa489d668a3ab02f9f56fcc460b780b04.html","3934280","23c0757fa489d668a3ab02f9f56fcc460b780b04","The variable is the latest statement in the code snippet"
"so#3506039_gh#da0f21acdf04430c2368450cad01402c3376a2f1.html","3506039","da0f21acdf04430c2368450cad01402c3376a2f1","Undefined phenomenon"
"so#3506039_gh#45d7973af7a20de644b33516b019cffef0d3b0b1.html","3506039","45d7973af7a20de644b33516b019cffef0d3b0b1","The variable is the latest statement in the code snippet"
"so#3506039_gh#009a5d9db683e136554c304334aa6129df509e18.html","3506039","009a5d9db683e136554c304334aa6129df509e18","The variable is the latest statement in the code snippet"
"so#3475772_gh#cd3329d94ff24abbc4e729a0b520d73602342ffb.html","3475772","cd3329d94ff24abbc4e729a0b520d73602342ffb","The return value is already in the code snippet"
"so#2817883_gh#0155ecceff469dc12309b653173c3197b76d92f1.html","2817883","0155ecceff469dc12309b653173c3197b76d92f1","The variable is used as an argument in a System.out.println invocation"
"so#2817806_gh#bda1189240dd2d20640a3525109d1a3fa4a168be.html","2817806","bda1189240dd2d20640a3525109d1a3fa4a168be","The return value is already in the code snippet"
"so#2408779_gh#5cf67ced8906626dd8731840d0628bf498e88a10.html","2408779","5cf67ced8906626dd8731840d0628bf498e88a10","Undefined phenomenon"
"so#2269242_gh#b1a10264dd80f9a41f746b99ba67fcb12938324d.html","2269242","b1a10264dd80f9a41f746b99ba67fcb12938324d","The variable is the latest statement in the code snippet"
"so#767833_gh#d49f21c8b011870f029cc3bcad4b8eb866de8043.html","767833","d49f21c8b011870f029cc3bcad4b8eb866de8043","The variable is used as an argument in a System.out.println invocation"
"so#434731_gh#e01f6be0b8d41e0766fe4a0a37e1f2a7c64d7fa7.html","434731","e01f6be0b8d41e0766fe4a0a37e1f2a7c64d7fa7","Undefined phenomenon"
"so#434731_gh#dde2678e90daed7e7f8f26272948ad20a86d5b43.html","434731","dde2678e90daed7e7f8f26272948ad20a86d5b43","Undefined phenomenon"
"so#434731_gh#c2e5175e403baf267eef7492cc8daa4651ea2f56.html","434731","c2e5175e403baf267eef7492cc8daa4651ea2f56","Undefined phenomenon"
"so#434731_gh#baf986e37a223ccc6b074b019e0c46a9595211c3.html","434731","baf986e37a223ccc6b074b019e0c46a9595211c3","Undefined phenomenon"
"so#434731_gh#94ef7d3b74f94bbc6fa4e4b5126aa3364bc70249.html","434731","94ef7d3b74f94bbc6fa4e4b5126aa3364bc70249","Undefined phenomenon"
"so#434731_gh#5b4dc6d688d3500c77a26d82da5125511b1f1da0.html","434731","5b4dc6d688d3500c77a26d82da5125511b1f1da0","Undefined phenomenon"
"so#192094_gh#ceaea752afe075b2c47abaa535c1b4829ef9d9fc.html","192094","ceaea752afe075b2c47abaa535c1b4829ef9d9fc","Undefined phenomenon"
"so#31463_gh#05bc6a08233ab52bf5a13509bb87195eeeaff913.html","31463","05bc6a08233ab52bf5a13509bb87195eeeaff913","The variable is used as an argument in a System.out.println invocation"
"so#14257087_gh#efa734d1b87211ab4aab47fe2bcdb599cb8c219b.html","14257087","efa734d1b87211ab4aab47fe2bcdb599cb8c219b","Undefined phenomenon"
"so#434731_gh#8fdb4444e291e0f20bab9e32f4c2016a57334c0a.html","434731","8fdb4444e291e0f20bab9e32f4c2016a57334c0a","Undefined phenomenon"
"so#792049_gh#a26fc76d113bd2ac6caba81d54fa00d3932c3973.html","792049","a26fc76d113bd2ac6caba81d54fa00d3932c3973","Undefined phenomenon"
"so#48597869_gh#25cfa3ded1cef98a0f8a27d483b8af451f7930ff.html","48597869","25cfa3ded1cef98a0f8a27d483b8af451f7930ff","Undefined phenomenon"
